Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Identifier,Outlet_Establishment_Year,Outlet_Location_Type,Outlet_Type,Item_Outlet_Sales
FDE14,13.65,Regular,0.031508924,Canned,98.77,OUT045,2002,Tier 2,Supermarket Type1,1697.79
FDE14,13.65,Regular,0.031573246,Canned,99.47,OUT018,2009,Tier 3,Supermarket Type2,299.61
FDE16,8.895,Low fat,0.026216144,Frozen Foods,207.6,OUT027,1985,Tier 3,Supermarket Type3,6668.65
FDE16,8.895,Low fat,0.026492726,Frozen Foods,208.5,OUT017,2007,Tier 2,Supermarket Type1,6251.86
FDE16,8.895,Low fat,0.026451028,Frozen Foods,210.4,OUT018,2009,Tier 3,Supermarket Type2,5001.49
FDE16,8.895,Low fat,0.026384672,Frozen Foods,209,OUT049,1999,Tier 1,Supermarket Type1,4584.7
FDE16,8.895,Low fat,0.026397141,Frozen Foods,207.9,OUT045,2002,Tier 2,Supermarket Type1,3542.72
FDE16,8.895,Low fat,0.044093978,Frozen Foods,208.4,OUT010,1998,Tier 3,Grocery Store,1041.98
FDE16,8.895,Low fat,0.046124444,Frozen Foods,206.8,OUT019,1985,Tier 1,Grocery Store,833.58
FDE17,20.1,Regular,0.054445198,Frozen Foods,151.74,OUT035,2004,Tier 2,Supermarket Type1,4836.37
FDE17,20.1,Regular,0.054763518,Frozen Foods,150.94,OUT017,2007,Tier 2,Supermarket Type1,3476.14
FDE17,20.1,Regular,0.054455495,Frozen Foods,149.54,OUT046,1997,Tier 1,Supermarket Type1,2871.6
FDE17,20.1,Regular,0.054410179,Frozen Foods,151.34,OUT013,1987,Tier 3,Supermarket Type1,2720.46
FDE17,20.1,Regular,0.054565932,Frozen Foods,152.24,OUT045,2002,Tier 2,Supermarket Type1,2418.19
FDE17,20.1,Regular,0.054540159,Frozen Foods,152.14,OUT049,1999,Tier 1,Supermarket Type1,755.68
FDE17,20.1,Regular,0.066132029,Frozen Foods,152.24,OUT010,1998,Tier 3,Grocery Store,151.14
FDE20,11.35,Regular,0.005530516,Fruits and Vegetables,171.18,OUT046,1997,Tier 1,Supermarket Type1,4923.59
FDE20,11.35,Regular,0.005539114,Fruits and Vegetables,167.88,OUT049,1999,Tier 1,Supermarket Type1,4074.7
FDE20,11.35,Regular,0.005561798,Fruits and Vegetables,168.38,OUT017,2007,Tier 2,Supermarket Type1,3225.8
FDE20,11.35,Regular,0.00552947,Fruits and Vegetables,169.28,OUT035,2004,Tier 2,Supermarket Type1,2376.91
FDE20,11.35,Regular,0.005525913,Fruits and Vegetables,168.28,OUT013,1987,Tier 3,Supermarket Type1,2376.91
FDE21,12.8,Low fat,0.066132029,Fruits and Vegetables,115.35,OUT027,1985,Tier 3,Supermarket Type3,3823.02
FDE21,12.8,Low fat,0.02299122,Fruits and Vegetables,114.95,OUT045,2002,Tier 2,Supermarket Type1,1737.74
FDE21,12.8,Low fat,0.022980361,Fruits and Vegetables,117.75,OUT049,1999,Tier 1,Supermarket Type1,1274.34
FDE22,9.695,Low fat,0.029567218,Snack Foods,160.49,OUT035,2004,Tier 2,Supermarket Type1,4314.38
FDE22,9.695,Low fat,0.029693277,Snack Foods,159.79,OUT018,2009,Tier 3,Supermarket Type2,2716.46
FDE22,9.695,Low fat,0.029632784,Snack Foods,159.69,OUT045,2002,Tier 2,Supermarket Type1,958.75
FDE22,9.695,Low fat,0.049498821,Snack Foods,158.79,OUT010,1998,Tier 3,Grocery Store,319.58
FDE22,9.695,Low fat,0.051778173,Snack Foods,157.89,OUT019,1985,Tier 1,Grocery Store,319.58
FDE23,17.6,Regular,0.053170949,Starchy Foods,45.61,OUT035,2004,Tier 2,Supermarket Type1,1724.42
FDE23,17.6,Regular,0.053481818,Starchy Foods,47.81,OUT017,2007,Tier 2,Supermarket Type1,1071.94
FDE23,17.6,Regular,0.053397642,Starchy Foods,46.71,OUT018,2009,Tier 3,Supermarket Type2,699.09
FDE23,17.6,Regular,0.053288857,Starchy Foods,47.31,OUT045,2002,Tier 2,Supermarket Type1,605.88
FDE23,17.6,Regular,0.066132029,Starchy Foods,46.01,OUT046,1997,Tier 1,Supermarket Type1,326.24
FDE24,14.85,Low fat,0.093010026,Baking Goods,143.08,OUT027,1985,Tier 3,Supermarket Type3,3704.51
FDE24,14.85,Low fat,0.093991286,Baking Goods,140.98,OUT017,2007,Tier 2,Supermarket Type1,3277.07
FDE24,14.85,Low fat,0.09344495,Baking Goods,141.08,OUT035,2004,Tier 2,Supermarket Type1,1139.85
FDE24,14.85,Low fat,0.09384335,Baking Goods,142.38,OUT018,2009,Tier 3,Supermarket Type2,1139.85
FDE24,14.85,Low fat,0.093652168,Baking Goods,141.58,OUT045,2002,Tier 2,Supermarket Type1,427.44
FDE24,14.85,Low fat,0.15643727,Baking Goods,142.08,OUT010,1998,Tier 3,Grocery Store,284.96
FDE26,9.3,Low fat,0.088931701,Canned,143.38,OUT013,1987,Tier 3,Supermarket Type1,3034.05
FDE26,9.3,Low fat,0.089005769,Canned,143.98,OUT046,1997,Tier 1,Supermarket Type1,2745.09
FDE26,9.3,Low fat,0.089186275,Canned,145.38,OUT045,2002,Tier 2,Supermarket Type1,2745.09
FDE26,9.3,Low fat,0.089144149,Canned,144.98,OUT049,1999,Tier 1,Supermarket Type1,1011.35
FDE26,9.3,Low fat,0.14897741,Canned,143.08,OUT010,1998,Tier 3,Grocery Store,288.96
FDE28,9.5,Regular,0.066132029,Frozen Foods,231.37,OUT013,1987,Tier 3,Supermarket Type1,5759.17
FDE28,9.5,Regular,0.132521929,Frozen Foods,228.67,OUT035,2004,Tier 2,Supermarket Type1,4146.6
FDE28,9.5,Regular,0.066132029,Frozen Foods,228.47,OUT049,1999,Tier 1,Supermarket Type1,3916.24
FDE28,9.5,Regular,0.232072674,Frozen Foods,229.47,OUT019,1985,Tier 1,Grocery Store,460.73
FDE28,9.5,Regular,0.221856492,Frozen Foods,231.87,OUT010,1998,Tier 3,Grocery Store,230.37
FDE29,8.905,Low fat,0.142436015,Frozen Foods,62.39,OUT027,1985,Tier 3,Supermarket Type3,1514.7
FDE29,8.905,Low fat,0.143129124,Frozen Foods,58.89,OUT046,1997,Tier 1,Supermarket Type1,1151.17
FDE29,8.905,Low fat,0.143419394,Frozen Foods,61.49,OUT045,2002,Tier 2,Supermarket Type1,1151.17
FDE29,8.905,Low fat,0.143712172,Frozen Foods,60.29,OUT018,2009,Tier 3,Supermarket Type2,1151.17
FDE29,8.905,Low fat,0.143010016,Frozen Foods,61.69,OUT013,1987,Tier 3,Supermarket Type1,1029.99
FDE29,8.905,Low fat,0.143351652,Frozen Foods,62.09,OUT049,1999,Tier 1,Supermarket Type1,302.94
FDE32,20.7,Low fat,0.048522793,Fruits and Vegetables,39.65,OUT027,1985,Tier 3,Supermarket Type3,1024.67
FDE32,20.7,Low fat,0.04903471,Fruits and Vegetables,39.95,OUT017,2007,Tier 2,Supermarket Type1,872.86
FDE32,20.7,Low fat,0.04875891,Fruits and Vegetables,37.35,OUT046,1997,Tier 1,Supermarket Type1,834.91
FDE32,20.7,Low fat,0.048957533,Fruits and Vegetables,37.85,OUT018,2009,Tier 3,Supermarket Type2,265.65
FDE32,20.7,Low fat,0.048718334,Fruits and Vegetables,38.75,OUT013,1987,Tier 3,Supermarket Type1,227.7
FDE32,20.7,Low fat,0.04874969,Fruits and Vegetables,37.55,OUT035,2004,Tier 2,Supermarket Type1,113.85
FDE33,19.35,Regular,0.049594299,Fruits and Vegetables,77.06,OUT013,1987,Tier 3,Supermarket Type1,2278.37
FDE33,19.35,Regular,0.049395242,Fruits and Vegetables,80.36,OUT027,1985,Tier 3,Supermarket Type3,1885.55
FDE33,19.35,Regular,0.049736267,Fruits and Vegetables,76.86,OUT045,2002,Tier 2,Supermarket Type1,1571.29
FDE33,19.35,Low fat,0.049712775,Fruits and Vegetables,78.26,OUT049,1999,Tier 1,Supermarket Type1,1492.72
FDE33,19.35,Regular,0.049916364,Fruits and Vegetables,80.26,OUT017,2007,Tier 2,Supermarket Type1,942.77
FDE33,19.35,Regular,0.086905536,Fruits and Vegetables,78.86,OUT019,1985,Tier 1,Grocery Store,314.26
FDE33,19.35,Regular,0.083079826,Fruits and Vegetables,80.36,OUT010,1998,Tier 3,Grocery Store,157.13
FDE34,9.195,Low fat,0.108059141,Snack Foods,181.76,OUT049,1999,Tier 1,Supermarket Type1,6179.96
FDE34,9.195,Low fat,0.107891398,Snack Foods,182.76,OUT046,1997,Tier 1,Supermarket Type1,3817.03
FDE34,9.195,Low fat,0.108330902,Snack Foods,183.66,OUT018,2009,Tier 3,Supermarket Type2,2726.45
FDE34,9.195,Low fat,0.108501676,Snack Foods,183.66,OUT017,2007,Tier 2,Supermarket Type1,2362.92
FDE34,9.195,Low fat,0.107870997,Snack Foods,181.26,OUT035,2004,Tier 2,Supermarket Type1,2362.92
FDE34,9.195,Low fat,0.180588082,Snack Foods,182.26,OUT010,1998,Tier 3,Grocery Store,363.53
FDE35,7.06,Regular,0.066132029,Starchy Foods,59.89,OUT027,1985,Tier 3,Supermarket Type3,1757.71
FDE35,7.06,Low fat,0.043863865,Starchy Foods,59.59,OUT013,1987,Tier 3,Supermarket Type1,761.68
FDE35,7.06,Regular,0.043989429,Starchy Foods,60.29,OUT045,2002,Tier 2,Supermarket Type1,644.49
FDE35,7.06,Regular,0.043968652,Starchy Foods,57.69,OUT049,1999,Tier 1,Supermarket Type1,585.9
FDE35,7.06,Regular,0.073480266,Starchy Foods,58.89,OUT010,1998,Tier 3,Grocery Store,58.59
FDE36,5.26,Regular,0.066132029,Baking Goods,165.59,OUT027,1985,Tier 3,Supermarket Type3,5404.96
FDE36,5.26,Regular,0.041837331,Baking Goods,161.89,OUT049,1999,Tier 1,Supermarket Type1,5077.39
FDE36,5.26,Regular,0.041857101,Baking Goods,162.79,OUT045,2002,Tier 2,Supermarket Type1,4258.46
FDE36,5.26,Regular,0.042008667,Baking Goods,162.69,OUT017,2007,Tier 2,Supermarket Type1,3767.1
FDE36,5.26,Regular,0.041764487,Baking Goods,161.89,OUT035,2004,Tier 2,Supermarket Type1,3275.74
FDE36,5.26,Regular,0.041942549,Baking Goods,165.49,OUT018,2009,Tier 3,Supermarket Type2,2293.02
FDE38,6.52,Low fat,0.044391149,Canned,164.38,OUT027,1985,Tier 3,Supermarket Type3,4476.17
FDE38,6.52,Low fat,0.044607161,Canned,164.28,OUT046,1997,Tier 1,Supermarket Type1,2818.33
FDE39,7.89,Low fat,0.036207786,Dairy,121.08,OUT045,2002,Tier 2,Supermarket Type1,3456.17
FDE39,7.89,Low fat,0.036127671,Dairy,117.48,OUT035,2004,Tier 2,Supermarket Type1,2026.03
FDE40,15.6,Regular,0.098663652,Dairy,62.92,OUT027,1985,Tier 3,Supermarket Type3,2105.26
FDE40,15.6,Regular,0.099704558,Dairy,63.12,OUT017,2007,Tier 2,Supermarket Type1,1300.31
FDE40,15.6,Regular,0.066132029,Dairy,62.42,OUT018,2009,Tier 3,Supermarket Type2,804.95
FDE40,15.6,Regular,0.099344826,Dairy,63.62,OUT045,2002,Tier 2,Supermarket Type1,743.03
FDE40,15.6,Regular,0.173587926,Dairy,60.02,OUT019,1985,Tier 1,Grocery Store,123.84
FDE41,9.195,Regular,0.064143995,Frozen Foods,85.96,OUT045,2002,Tier 2,Supermarket Type1,1691.13
FDE41,9.195,Regular,0.064014173,Frozen Foods,83.36,OUT046,1997,Tier 1,Supermarket Type1,1437.46
FDE41,9.195,Regular,0.064113698,Frozen Foods,86.56,OUT049,1999,Tier 1,Supermarket Type1,1183.79
FDE41,9.195,Regular,0.064376263,Frozen Foods,83.16,OUT017,2007,Tier 2,Supermarket Type1,1099.24
FDE41,9.195,Regular,0.064002068,Frozen Foods,85.56,OUT035,2004,Tier 2,Supermarket Type1,930.12
FDE41,9.195,Low fat,0.066132029,Frozen Foods,83.76,OUT019,1985,Tier 1,Grocery Store,253.67
FDE44,14.65,Low fat,0.17138805,Fruits and Vegetables,50.77,OUT046,1997,Tier 1,Supermarket Type1,1034.65
FDE44,14.65,Low fat,0.066132029,Fruits and Vegetables,49.77,OUT045,2002,Tier 2,Supermarket Type1,837.58
FDE44,14.65,Low fat,0.172357491,Fruits and Vegetables,50.87,OUT017,2007,Tier 2,Supermarket Type1,788.31
FDE44,14.65,Low fat,0.171355643,Fruits and Vegetables,47.67,OUT035,2004,Tier 2,Supermarket Type1,739.04
FDE44,14.65,Low fat,0.171245426,Fruits and Vegetables,50.37,OUT013,1987,Tier 3,Supermarket Type1,591.23
FDE45,12.1,Low fat,0.040521714,Fruits and Vegetables,178.5,OUT018,2009,Tier 3,Supermarket Type2,5552.11
FDE45,12.1,Low fat,0.040323731,Fruits and Vegetables,180,OUT013,1987,Tier 3,Supermarket Type1,4656.61
FDE45,12.1,Low fat,0.066132029,Fruits and Vegetables,177.3,OUT035,2004,Tier 2,Supermarket Type1,3044.7
FDE45,12.1,Low fat,0.040357315,Fruits and Vegetables,177.8,OUT046,1997,Tier 1,Supermarket Type1,1611.9
FDE45,12.1,Low fat,0.070660449,Fruits and Vegetables,180.4,OUT019,1985,Tier 1,Grocery Store,716.4
FDE46,18.6,Low fat,0.01575657,Snack Foods,153.14,OUT013,1987,Tier 3,Supermarket Type1,3173.87
FDE46,18.6,Low fat,0.015769693,Snack Foods,152.14,OUT046,1997,Tier 1,Supermarket Type1,1813.64
FDE46,18.6,Low fat,0.015766712,Snack Foods,152.94,OUT035,2004,Tier 2,Supermarket Type1,1662.5
FDE46,18.6,Low fat,0.015693328,Snack Foods,150.74,OUT027,1985,Tier 3,Supermarket Type3,906.82
FDE46,18.6,Low fat,0.027610698,Snack Foods,149.54,OUT019,1985,Tier 1,Grocery Store,604.55
FDE46,18.6,Low fat,0.015858893,Snack Foods,152.94,OUT017,2007,Tier 2,Supermarket Type1,453.41
FDE47,14.15,Low fat,0.037901581,Starchy Foods,126.3,OUT035,2004,Tier 2,Supermarket Type1,2614.6
FDE47,14.15,Low fat,0.038123176,Starchy Foods,123.5,OUT017,2007,Tier 2,Supermarket Type1,1992.07
FDE47,14.15,Low fat,0.037967687,Starchy Foods,125.6,OUT049,1999,Tier 1,Supermarket Type1,1618.56
FDE47,14.15,Low fat,0.037877202,Starchy Foods,124,OUT013,1987,Tier 3,Supermarket Type1,1618.56
FDE50,19.7,Regular,0.016238512,Canned,186.46,OUT045,2002,Tier 2,Supermarket Type1,5069.4
FDE50,19.7,Regular,0.016202582,Canned,188.26,OUT035,2004,Tier 2,Supermarket Type1,3379.6
FDE50,19.7,Regular,0.01612717,Canned,189.36,OUT027,1985,Tier 3,Supermarket Type3,2253.07
FDE51,5.925,Regular,0.096000183,Dairy,43.71,OUT027,1985,Tier 3,Supermarket Type3,1293.65
FDE51,5.925,Regular,0.097012989,Dairy,42.91,OUT017,2007,Tier 2,Supermarket Type1,758.35
FDE51,5.925,Regular,0.09646733,Dairy,42.81,OUT046,1997,Tier 1,Supermarket Type1,669.13
FDE51,5.925,Regular,0.096387053,Dairy,45.61,OUT013,1987,Tier 3,Supermarket Type1,356.87
FDE51,5.925,Regular,0.09644909,Dairy,43.81,OUT035,2004,Tier 2,Supermarket Type1,312.26
FDE51,5.925,Regular,0.161466534,Dairy,45.51,OUT010,1998,Tier 3,Grocery Store,178.43
FDE51,5.925,Regular,0.168901843,Dairy,43.41,OUT019,1985,Tier 1,Grocery Store,44.61
FDE52,12.87542141,Regular,0.02974207,Dairy,88.95,OUT027,1985,Tier 3,Supermarket Type3,3453.5
FDE53,10.895,Low fat,0.026749991,Frozen Foods,106.93,OUT027,1985,Tier 3,Supermarket Type3,2876.26
FDE53,10.895,Low fat,0.026880159,Frozen Foods,106.43,OUT046,1997,Tier 1,Supermarket Type1,1491.39
FDE53,10.895,Low fat,0.027032204,Frozen Foods,106.33,OUT017,2007,Tier 2,Supermarket Type1,852.22
FDE53,10.895,Low fat,0.044991876,Frozen Foods,107.23,OUT010,1998,Tier 3,Grocery Store,426.11
FDE53,10.895,Low fat,0.026934673,Frozen Foods,106.13,OUT045,2002,Tier 2,Supermarket Type1,319.58
FDE56,17.25,Regular,0.158424516,Fruits and Vegetables,62.42,OUT027,1985,Tier 3,Supermarket Type3,2291.02
FDE56,17.25,Regular,0.159165324,Fruits and Vegetables,63.42,OUT035,2004,Tier 2,Supermarket Type1,1547.99
FDE56,17.25,Regular,0.160095901,Fruits and Vegetables,61.52,OUT017,2007,Tier 2,Supermarket Type1,1052.63
FDE56,17.25,Regular,0.278730642,Fruits and Vegetables,63.22,OUT019,1985,Tier 1,Grocery Store,247.68
FDE57,9.6,Low fat,0.036109413,Fruits and Vegetables,140.62,OUT027,1985,Tier 3,Supermarket Type3,4538.09
FDE57,9.6,Low fat,0.036341539,Fruits and Vegetables,142.92,OUT049,1999,Tier 1,Supermarket Type1,3261.75
FDE57,9.6,Low fat,0.03625493,Fruits and Vegetables,141.02,OUT013,1987,Tier 3,Supermarket Type1,2694.49
FDE57,9.6,Low fat,0.036490369,Fruits and Vegetables,140.82,OUT017,2007,Tier 2,Supermarket Type1,1843.6
FDE58,18.5,Low fat,0.066132029,Snack Foods,119.81,OUT017,2007,Tier 2,Supermarket Type1,4029.42
FDE58,18.5,Low fat,0.052025392,Snack Foods,118.41,OUT013,1987,Tier 3,Supermarket Type1,2370.25
FDE58,18.5,Low fat,0.066132029,Snack Foods,119.81,OUT027,1985,Tier 3,Supermarket Type3,1659.17
FDE58,18.5,Low fat,0.052149675,Snack Foods,118.31,OUT049,1999,Tier 1,Supermarket Type1,1540.66
FDE59,12.15,Low fat,0.06227604,Starchy Foods,37.95,OUT035,2004,Tier 2,Supermarket Type1,1078.6
FDE59,12.15,Low fat,0.062384659,Starchy Foods,34.65,OUT049,1999,Tier 1,Supermarket Type1,719.06
FDE59,12.15,Low fat,0.062235983,Starchy Foods,34.55,OUT013,1987,Tier 3,Supermarket Type1,359.53
FDE59,12.15,Low fat,0.062640143,Starchy Foods,36.65,OUT017,2007,Tier 2,Supermarket Type1,251.67
FDE59,12.15,Low fat,0.062541552,Starchy Foods,34.35,OUT018,2009,Tier 3,Supermarket Type2,251.67
FDE59,12.15,Low fat,0.104257037,Starchy Foods,34.05,OUT010,1998,Tier 3,Grocery Store,179.77
FDF02,16.2,Low fat,0.104058452,Canned,102.5,OUT017,2007,Tier 2,Supermarket Type1,2063.98
FDF02,16.2,Low fat,0.103894671,Canned,101.3,OUT018,2009,Tier 3,Supermarket Type2,1857.58
FDF02,16.2,Low fat,0.103634038,Canned,101.4,OUT049,1999,Tier 1,Supermarket Type1,1031.99
FDF04,17.5,Low fat,0.013658248,Frozen Foods,256.33,OUT049,1999,Tier 1,Supermarket Type1,6199.93
FDF04,17.5,Low fat,0.013637046,Frozen Foods,258.53,OUT046,1997,Tier 1,Supermarket Type1,6199.93
FDF04,17.5,Low fat,0.013664703,Frozen Foods,257.73,OUT045,2002,Tier 2,Supermarket Type1,5683.27
FDF04,17.5,Low fat,0.013692598,Frozen Foods,259.73,OUT018,2009,Tier 3,Supermarket Type2,3616.63
FDF04,17.5,Low fat,0.066132029,Frozen Foods,258.33,OUT013,1987,Tier 3,Supermarket Type1,3358.3
FDF04,17.5,Low fat,0.013714183,Frozen Foods,259.23,OUT017,2007,Tier 2,Supermarket Type1,2841.63
FDF04,17.5,Low fat,0.013634468,Frozen Foods,256.43,OUT035,2004,Tier 2,Supermarket Type1,1808.31
FDF04,17.5,Low fat,0.023876708,Frozen Foods,258.63,OUT019,1985,Tier 1,Grocery Store,516.66
FDF05,17.5,Low fat,0.026740767,Frozen Foods,261.29,OUT027,1985,Tier 3,Supermarket Type3,5522.81
FDF05,17.5,Low fat,0.027022883,Frozen Foods,262.49,OUT017,2007,Tier 2,Supermarket Type1,5259.82
FDF05,17.5,Low fat,0.026925385,Frozen Foods,264.39,OUT045,2002,Tier 2,Supermarket Type1,5259.82
FDF05,17.5,Low fat,0.026848529,Frozen Foods,264.89,OUT013,1987,Tier 3,Supermarket Type1,4996.83
FDF05,17.5,Low fat,0.026865809,Frozen Foods,261.69,OUT035,2004,Tier 2,Supermarket Type1,4207.86
FDF05,17.5,Low fat,0.026980351,Frozen Foods,262.59,OUT018,2009,Tier 3,Supermarket Type2,4207.86
FDF05,17.5,Low fat,0.02687089,Frozen Foods,264.49,OUT046,1997,Tier 1,Supermarket Type1,3681.87
FDF05,17.5,Low fat,0.026912667,Frozen Foods,261.29,OUT049,1999,Tier 1,Supermarket Type1,3418.88
FDF08,14.3,Regular,0.065339802,Fruits and Vegetables,89.19,OUT045,2002,Tier 2,Supermarket Type1,1845.6
FDF08,14.3,Regular,0.065195229,Fruits and Vegetables,88.99,OUT035,2004,Tier 2,Supermarket Type1,1669.83
FDF08,14.3,Regular,0.065153295,Fruits and Vegetables,88.49,OUT013,1987,Tier 3,Supermarket Type1,1406.17
FDF08,14.3,Regular,0.066132029,Fruits and Vegetables,89.89,OUT018,2009,Tier 3,Supermarket Type2,1406.17
FDF08,14.3,Regular,0.065207559,Fruits and Vegetables,89.89,OUT046,1997,Tier 1,Supermarket Type1,966.74
FDF08,14.3,Regular,0.109144085,Fruits and Vegetables,88.29,OUT010,1998,Tier 3,Grocery Store,175.77
FDF09,6.215,Low fat,0.012146608,Fruits and Vegetables,37.98,OUT035,2004,Tier 2,Supermarket Type1,782.98
FDF09,6.215,Low fat,0.012138795,Fruits and Vegetables,39.28,OUT013,1987,Tier 3,Supermarket Type1,521.99
FDF09,6.215,Low fat,0.012090074,Fruits and Vegetables,38.28,OUT027,1985,Tier 3,Supermarket Type3,484.7
FDF09,6.215,Low fat,0.012173543,Fruits and Vegetables,36.48,OUT045,2002,Tier 2,Supermarket Type1,447.42
FDF09,6.215,Low fat,0.012198395,Fruits and Vegetables,37.48,OUT018,2009,Tier 3,Supermarket Type2,186.42
FDF09,6.215,Low fat,0.012167793,Fruits and Vegetables,37.48,OUT049,1999,Tier 1,Supermarket Type1,111.85
FDF10,15.5,Low fat,0.156797787,Snack Foods,148.64,OUT013,1987,Tier 3,Supermarket Type1,3972.83
FDF10,15.5,Regular,0.157246634,Snack Foods,145.64,OUT045,2002,Tier 2,Supermarket Type1,2207.13
FDF10,15.5,Regular,0.066132029,Snack Foods,147.24,OUT018,2009,Tier 3,Supermarket Type2,1324.28
FDF10,15.5,Regular,0.15717236,Snack Foods,149.14,OUT049,1999,Tier 1,Supermarket Type1,588.57
FDF11,10.195,Regular,0.017666978,Starchy Foods,239.45,OUT045,2002,Tier 2,Supermarket Type1,4566.72
FDF11,10.195,Regular,0.017730951,Starchy Foods,239.85,OUT017,2007,Tier 2,Supermarket Type1,4086.01
FDF11,10.195,Low fat,0.017703044,Starchy Foods,239.45,OUT018,2009,Tier 3,Supermarket Type2,3605.31
FDF11,10.195,Regular,0.017627888,Starchy Foods,239.65,OUT035,2004,Tier 2,Supermarket Type1,2403.54
FDF11,10.195,Regular,0.017658634,Starchy Foods,240.15,OUT049,1999,Tier 1,Supermarket Type1,1442.12
FDF12,8.235,Low fat,0.082028694,Baking Goods,148.61,OUT027,1985,Tier 3,Supermarket Type3,3990.81
FDF12,8.235,Low fat,0.08235926,Baking Goods,147.61,OUT013,1987,Tier 3,Supermarket Type1,3103.96
FDF12,8.235,Low fat,0.082427854,Baking Goods,149.31,OUT046,1997,Tier 1,Supermarket Type1,2808.34
FDF12,8.235,Low fat,0.0828941,Baking Goods,149.31,OUT017,2007,Tier 2,Supermarket Type1,1921.5
FDF12,8.235,Low fat,0.08276363,Baking Goods,146.51,OUT018,2009,Tier 3,Supermarket Type2,1625.88
FDF12,8.235,Low fat,0.08259502,Baking Goods,149.11,OUT045,2002,Tier 2,Supermarket Type1,1182.46
FDF14,7.55,Low fat,0.027212058,Canned,152.73,OUT049,1999,Tier 1,Supermarket Type1,2756.41
FDF14,7.55,Low fat,0.027164679,Canned,152.33,OUT035,2004,Tier 2,Supermarket Type1,2603.28
FDF14,7.55,Low fat,0.027224917,Canned,152.93,OUT045,2002,Tier 2,Supermarket Type1,2450.14
FDF14,7.55,Low fat,0.0273235,Canned,151.93,OUT017,2007,Tier 2,Supermarket Type1,1837.61
FDF16,7.3,Low fat,0.086619573,Frozen Foods,147.61,OUT017,2007,Tier 2,Supermarket Type1,3251.77
FDF16,7.3,Low fat,0.086132373,Frozen Foods,148.81,OUT046,1997,Tier 1,Supermarket Type1,3103.96
FDF16,7.3,Low fat,0.086060695,Frozen Foods,149.81,OUT013,1987,Tier 3,Supermarket Type1,2808.34
FDF16,7.3,Low fat,0.086266286,Frozen Foods,147.21,OUT049,1999,Tier 1,Supermarket Type1,1921.5
FDF16,7.3,Low fat,0.085715273,Frozen Foods,146.61,OUT027,1985,Tier 3,Supermarket Type3,1773.69
FDF16,7.3,Low fat,0.086307051,Frozen Foods,146.81,OUT045,2002,Tier 2,Supermarket Type1,1330.27
FDF16,7.3,Low fat,0.144167934,Frozen Foods,146.31,OUT010,1998,Tier 3,Grocery Store,886.85
FDF16,7.3,Low fat,0.150806666,Frozen Foods,149.01,OUT019,1985,Tier 1,Grocery Store,295.62
FDF17,5.19,Low fat,0.042861968,Frozen Foods,196.81,OUT017,2007,Tier 2,Supermarket Type1,3731.81
FDF17,5.19,Low fat,0.042687151,Frozen Foods,195.91,OUT049,1999,Tier 1,Supermarket Type1,2946.17
FDF17,5.19,Low fat,0.042707323,Frozen Foods,197.81,OUT045,2002,Tier 2,Supermarket Type1,2946.17
FDF20,12.85,Low fat,0.033059299,Fruits and Vegetables,196.48,OUT027,1985,Tier 3,Supermarket Type3,6306.46
FDF20,12.85,Low fat,0.033271818,Fruits and Vegetables,196.58,OUT049,1999,Tier 1,Supermarket Type1,5715.23
FDF20,12.85,Low fat,0.033192524,Fruits and Vegetables,199.08,OUT013,1987,Tier 3,Supermarket Type1,3153.23
FDF20,12.85,Low fat,0.033220169,Fruits and Vegetables,196.68,OUT046,1997,Tier 1,Supermarket Type1,2759.08
FDF20,12.85,Low fat,0.033287541,Fruits and Vegetables,198.48,OUT045,2002,Tier 2,Supermarket Type1,1379.54
FDF20,12.85,Low fat,0.055603753,Fruits and Vegetables,195.68,OUT010,1998,Tier 3,Grocery Store,394.15
FDF21,10.3,Regular,0.059160135,Fruits and Vegetables,191.55,OUT017,2007,Tier 2,Supermarket Type1,6641.36
FDF21,10.3,Regular,0.058918844,Fruits and Vegetables,191.65,OUT049,1999,Tier 1,Supermarket Type1,5313.08
FDF21,10.3,Regular,0.066132029,Fruits and Vegetables,189.05,OUT045,2002,Tier 2,Supermarket Type1,5313.08
FDF21,10.3,Regular,0.058542509,Fruits and Vegetables,188.35,OUT027,1985,Tier 3,Supermarket Type3,4364.32
FDF21,10.3,Regular,0.058778429,Fruits and Vegetables,187.85,OUT013,1987,Tier 3,Supermarket Type1,2656.54
FDF21,10.3,Regular,0.066132029,Fruits and Vegetables,191.15,OUT035,2004,Tier 2,Supermarket Type1,1707.78
FDF21,10.3,Regular,0.098464979,Fruits and Vegetables,188.65,OUT010,1998,Tier 3,Grocery Store,189.75
FDF22,6.865,Low fat,0.056919038,Snack Foods,212.82,OUT049,1999,Tier 1,Supermarket Type1,5770.49
FDF22,6.865,Low fat,0.056830682,Snack Foods,214.02,OUT046,1997,Tier 1,Supermarket Type1,5556.77
FDF22,6.865,Low fat,0.057152139,Snack Foods,211.82,OUT017,2007,Tier 2,Supermarket Type1,4915.6
FDF22,6.865,Low fat,0.056783389,Snack Foods,214.52,OUT013,1987,Tier 3,Supermarket Type1,2778.38
FDF22,6.865,Low fat,0.057062186,Snack Foods,212.02,OUT018,2009,Tier 3,Supermarket Type2,2350.94
